Model,R2,MAE,RMSE
Linear Regression,0.8385456361629411,6.909593831138935,14.139054884048333
Decision Tree,0.9980471912567555,0.6328125,1.554981913078091
Random Forest,0.9988042046526445,0.5183767361111108,1.2168132105905132
Gradient Boosting,0.992650450700185,1.0528370503365918,3.0166563562248707
